week,observed,counterfactual,att
2024-01-29,0.2282775975038828,0.22862703601803444,-0.0003494385141516454
2024-02-05,0.1947309240905265,0.19658640455399526,-0.001855480463468756
2024-02-12,0.2092203319268505,0.21296028861361396,-0.003739956686763468
2024-02-19,0.2682460700632915,0.26579528534909697,0.0024507847141945205
2024-02-26,0.270750003982138,0.26751217661454973,0.003237827367588264
2024-03-04,0.2499049388789984,0.2488654324704692,0.001039506408529206
2024-03-11,0.2546892175543185,0.25279808404673887,0.0018911335075796343
2024-03-18,0.2333302146503783,0.234781931278685,-0.001451716628306704
2024-03-25,0.2133495558708813,0.20895887533388788,0.00439068053699343
2024-04-01,0.2590031493783353,0.2569452416603886,0.002057907717946672
2024-04-08,0.2002723532829922,0.20025799566528382,1.4357617708377068e-05
2024-04-15,0.2118887051061322,0.20910525662440882,0.0027834484817233773
2024-04-22,0.2595492422477947,0.25752925821664197,0.0020199840311527217
2024-04-29,0.2496034418688716,0.24671821923138665,0.0028852226374849466
2024-05-06,0.2352178772704136,0.23582560992798118,-0.0006077326575675834
2024-05-13,0.2180949974066436,0.22173809308944184,-0.0036430956827982475
2024-05-20,0.2506985358614831,0.25527082227656617,-0.00457228641508306
2024-05-27,0.2573763064759642,0.2562395598944345,0.001136746581529735
2024-06-03,0.2530882401883708,0.2504314611821039,0.002656779006266874
2024-06-10,0.2442895170552352,0.24626894761396148,-0.0019794305587262917
2024-06-17,0.2459414133716307,0.2485504846648911,-0.0026090712932604065
2024-06-24,0.2791751996028975,0.280221692523298,-0.001046492920400488
2024-07-01,0.2771750869197024,0.27472973168984627,0.0024453552298561165
2024-07-08,0.2801511800440349,0.2816219453153524,-0.001470765271317509
2024-07-15,0.2698922266029973,0.27260899680620737,-0.002716770203210095
2024-07-22,0.2508430145479974,0.25195454827996694,-0.0011115337319695384
2024-07-29,0.2295800856150875,0.23015844170903618,-0.0005783560939486843
2024-08-05,0.2338865390426231,0.23481845381980837,-0.0009319147771852665
2024-08-12,0.3105950368065505,0.30992910837921467,0.0006659284273358157
2024-08-19,0.3238369556860369,0.3195489468832353,0.004288008802801557
2024-08-26,0.3109312057032085,0.3087430295361203,0.0021881761670881628
2024-09-02,0.3400207625636101,0.3370441384546011,0.002976624109008952
2024-09-09,0.3272573679483364,0.32891160946700043,-0.0016542415186640569
2024-09-16,0.3049742335108359,0.3090384683503931,-0.0040642348395572014
2024-09-23,0.3591630139093091,0.3599282932495683,-0.0007652793402592173
2024-09-30,0.3227058056915922,0.32141067902140685,0.0012951266701853315
2024-10-07,0.3092433084465045,0.30922783374597945,1.5474700525042184e-05
2024-10-14,0.323214448354707,0.3261056999256784,-0.0028912515709714204
2024-10-21,0.3536092442960593,0.3525535915529968,0.001055652743062463
2024-10-28,0.3494569327207619,0.34855715440099333,0.0008997783197685627
2024-11-04,0.3722613951766151,0.3723892713504003,-0.00012787617378517968
2024-11-11,0.3424951164751139,0.3444476673344141,-0.0019525508593002394
2024-11-18,0.3190379867223774,0.34048510759765943,-0.021447120875282055
2024-11-25,0.33310113270409,0.3448016218788841,-0.011700489174794104
2024-12-02,0.3715629605623636,0.4096044399136986,-0.038041479351335006
2024-12-09,0.3378956935515211,0.3401669672944303,-0.0022712737429091967
2024-12-16,0.2973668953764742,0.2614932688061195,0.0358736265703547
2024-12-23,0.30849539221994,0.3737047715895952,-0.06520937936965521
2024-12-30,0.2722298075365694,0.3654925758261922,-0.09326276828962282
2025-01-06,0.2937868949795477,0.44250875677591234,-0.14872186179636465
2025-01-13,0.3085949166063924,0.4582350319522213,-0.14964011534582894
2025-01-20,0.3015287896420984,0.3710348802310978,-0.06950609058899943
2025-01-27,0.2502819527986273,0.2785595728232081,-0.028277620024580785
2025-02-03,0.3422230548327872,0.3284209638548884,0.013802090977898807
2025-02-10,0.3331568763704178,0.37426481219509844,-0.04110793582468064
2025-02-17,0.3316008923418001,0.34307201131226667,-0.011471118970466543
2025-02-24,0.316108306031267,0.3346597654437565,-0.01855145941248948
2025-03-03,0.308928256869489,0.4552884713028279,-0.1463602144333389
2025-03-10,0.3139723353138932,0.4961098561119361,-0.1821375207980429
2025-03-17,0.3127813560966022,0.34971694337649795,-0.036935587279895765
2025-03-24,0.3483483219969195,0.3243195226721774,0.02402879932474211
2025-03-31,0.3259393605289248,0.31709596129213796,0.008843399236786842
2025-04-07,0.3604978766999691,0.4125829289006297,-0.05208505220066062
2025-04-14,0.2814565452492286,0.3030912452317808,-0.02163469998255224
2025-04-21,0.264379665589554,0.28565833543589925,-0.021278669846345244
2025-04-28,0.2878154022478973,0.2853958471170145,0.0024195551308828223
2025-05-05,0.2976551969964202,0.302658006621305,-0.0050028096248848075
2025-05-12,0.259895807202816,0.2839695167356577,-0.02407370953284166
2025-05-19,0.238826414440779,0.2695064583929901,-0.030680043952211078
2025-05-26,0.2754007845486749,0.2738646836889323,0.0015361008597425951
2025-06-02,0.2784327529661254,0.2710217909929611,0.007410961973164321
2025-06-09,0.2957711840346662,0.34103818785496887,-0.04526700382030269
2025-06-16,0.3194298095593685,0.28189239353412243,0.03753741602524607
2025-06-23,0.2696776196686221,0.30585019198589575,-0.036172572317273666
2025-06-30,0.3220860178767099,0.2758531394582759,0.04623287841843399
2025-07-07,0.3350553787427723,0.23831552430934808,0.09673985443342423
2025-07-14,0.290019446942082,0.28900012516876084,0.0010193217733211468
2025-07-21,0.3061340315633127,0.2514818154151136,0.054652216148199095
2025-07-28,0.2746070243716745,0.3202728105373135,-0.04566578616563899
