week,observed,counterfactual,att
2024-01-29,0.046804843867461,0.04648018346031347,0.0003246604071475284
2024-02-05,0.0542387150765626,0.05402369739436375,0.00021501768219885087
2024-02-12,0.0464464476332687,0.04910490959145703,-0.002658461958188328
2024-02-19,0.1016509315484246,0.10064235131782837,0.0010085802305962316
2024-02-26,0.0561513721587266,0.05549366601330158,0.0006577061454250202
2024-03-04,0.0542852222766447,0.055303268731028844,-0.001018046454384143
2024-03-11,0.0686446780314142,0.06868802497707965,-4.334694566544839e-05
2024-03-18,0.0535229529140375,0.05455201938215016,-0.0010290664681126618
2024-03-25,0.0706374765987749,0.06799818261382572,0.0026392939849491787
2024-04-01,0.0350380974355969,0.035801121770259806,-0.0007630243346629026
2024-04-08,0.0585582667325521,0.05794107024580518,0.000617196486746921
2024-04-15,0.0739560473373379,0.07191948551892906,0.002036561818408847
2024-04-22,0.0616278516770651,0.06000704105422579,0.0016208106228393152
2024-04-29,0.0719027687078174,0.07045503872283682,0.001447729984980578
2024-05-06,0.0869115589863873,0.08659894716126562,0.0003126118251216836
2024-05-13,0.0626039206917613,0.061280808039276345,0.0013231126524849493
2024-05-20,0.0553096233154272,0.057484869874418795,-0.002175246558991595
2024-05-27,0.0829088928257277,0.0817258337380942,0.0011830590876335118
2024-06-03,0.0744640556653932,0.07319880156628096,0.0012652540991122396
2024-06-10,0.0736287880884591,0.07423418365788584,-0.0006053955694267366
2024-06-17,0.060842000680358,0.06175148552619633,-0.000909484845838332
2024-06-24,0.0619821888709961,0.062674810157256,-0.0006926212862598952
2024-07-01,0.0767085257815855,0.07514149725654273,0.0015670285250427712
2024-07-08,0.0588075799682658,0.05936678103175036,-0.0005592010634845601
2024-07-15,0.0778747567889123,0.07863630422731369,-0.0007615474384013859
2024-07-22,0.1827681034595676,0.18227893811234208,0.000489165347225512
2024-07-29,0.3227305477855007,0.3219840164599371,0.0007465313255636263
2024-08-05,0.2433092020412859,0.24346249517079072,-0.00015329312950482232
2024-08-12,0.0867214179036248,0.08690158109742424,-0.0001801631937994458
2024-08-19,0.0619957455076694,0.06142902141618128,0.0005667240914881203
2024-08-26,0.0564222975324337,0.05579351225921883,0.0006287852732148672
2024-09-02,0.0801577546911085,0.07912381450994997,0.0010339401811585297
2024-09-09,0.0873482046902575,0.08753382972851319,-0.0001856250382556851
2024-09-16,0.0489106312471242,0.05138419305866915,-0.0024735618115449484
2024-09-23,0.054767610857092,0.05501011301941037,-0.0002425021623183657
2024-09-30,0.1542219223280765,0.15311830954590125,0.001103612782175245
2024-10-07,0.1798113532554179,0.17874117514323112,0.0010701781121867648
2024-10-14,0.0542907606566021,0.05549750394543297,-0.0012067432888308721
2024-10-21,0.0567068980232156,0.05581025285006942,0.0008966451731461794
2024-10-28,0.0535445855632048,0.05377873361350827,-0.00023414805030346625
2024-11-04,0.0631053739935462,0.06352412952286093,-0.0004187555293147377
2024-11-11,0.0703006364685317,0.0704384877110797,-0.00013785124254800385
2024-11-18,0.106346443318003,0.0533319929469286,0.0530144503710744
2024-11-25,0.0443648493821643,-0.02436676880774384,0.06873161818990814
2024-12-02,0.0460058962904139,0.1945740992831775,-0.1485682029927636
2024-12-09,0.0576441915000951,0.0012079835349533025,0.0564362079651418
2024-12-16,0.0561193466303686,-0.009523448791627896,0.0656427954219965
2024-12-23,0.0532322894007922,0.14627791651073038,-0.09304562710993819
2024-12-30,0.0578372311320017,0.21708449764917062,-0.15924726651716892
2025-01-06,0.0436968949115002,0.27792504702044807,-0.23422815210894787
2025-01-13,0.0535490868256043,0.2351082728125471,-0.1815591859869428
2025-01-20,0.0702359354198709,0.07358207980049986,-0.0033461443806289543
2025-01-27,0.048427194737083,0.1299735972251944,-0.08154640248811139
2025-02-03,0.1099365175842356,0.13989001883890914,-0.02995350125467354
2025-02-10,0.0688939350239858,0.148935028334029,-0.0800410933100432
2025-02-17,0.0974096238968977,0.13178189286529066,-0.03437226896839296
2025-02-24,0.0448653041877197,0.14594630506447465,-0.10108100087675495
2025-03-03,0.047523288687092,0.4287203844216663,-0.38119709573457433
2025-03-10,0.0830830554673812,0.43735804858671623,-0.354274993119335
2025-03-17,0.0584738437783962,0.1404372370279986,-0.08196339324960239
2025-03-24,0.0595066189352358,0.06433962458232995,-0.0048330056470941435
2025-03-31,0.0548086285568529,0.16121941850866844,-0.10641078995181555
2025-04-07,0.0444354330729953,0.32572225983201125,-0.28128682675901595
2025-04-14,0.0846340377489006,0.210035581090351,-0.1254015433414504
2025-04-21,0.0447725244456489,0.2154072776614586,-0.17063475321580968
2025-04-28,0.059120616934656,0.16353917212004881,-0.10441855518539281
2025-05-05,0.0507617358209289,0.20325979036154643,-0.15249805454061754
2025-05-12,0.0607410067318347,0.1609723653376396,-0.1002313586058049
2025-05-19,0.1311059402901035,0.1668282816017211,-0.03572234131161761
2025-05-26,0.0539481474906777,0.15169741016913746,-0.09774926267845976
2025-06-02,0.0651944863493958,0.11235736540080264,-0.04716287905140684
2025-06-09,0.0590956510799152,0.2836272584604532,-0.224531607380538
2025-06-16,0.0423699432335998,0.07392991904999413,-0.03155997581639433
2025-06-23,0.0427274388960598,0.16660483897856304,-0.12387740008250324
2025-06-30,0.0490092162271083,0.05697278751321261,-0.00796357128610431
2025-07-07,0.0586330984873386,-0.011197258899183571,0.06983035738652217
2025-07-14,0.0547701873822465,0.06025606122025354,-0.005485873838007034
2025-07-21,0.0459447293026495,-0.04863454891937275,0.09457927822202225
2025-07-28,0.0332764718950102,0.12583315060898603,-0.09255667871397583
