month_rel,att,se,lo,hi
-9,0.4297886449220496,0.04985088432747193,0.3320809116402046,0.5274963782038946
-8,0.6165266895267534,0.052471948608308214,0.5136816702544693,0.7193717087990374
-7,0.7412585493427719,0.05762428943942858,0.6283149420414919,0.854202156644052
-6,0.716746861069478,0.06123493016870111,0.5967263979388239,0.8367673242001322
-5,0.6664233712952861,0.05501446581704094,0.5585950182938858,0.7742517242966863
-4,0.5438695937471827,0.0648469310491492,0.41676960889085024,0.6709695786035151
-3,0.19127158224350826,0.056278733606186834,0.08096526437538207,0.30157790011163443
-2,0.15443054478190887,0.04867712019155165,0.059023389206467644,0.2498377003573501
-1,0.0,0.058769192882758434,-0.11518761805020652,0.11518761805020652
0,0.08896211451856462,0.06019974641273809,-0.02902938845040204,0.20695361748753127
1,0.3274341853756071,0.05173483370580464,0.22603391131223,0.4288344594389842
2,0.38800325733627505,0.052420088746668154,0.2852598833928055,0.4907466312797446
3,0.12990056583200393,0.05406256391763954,0.02393794055343043,0.23586319111057744
4,0.32011538005533513,0.058104187316470594,0.20623117291505277,0.4339995871956175
5,0.362889916841719,0.05253917190440643,0.2599131399090824,0.46586669377435563
6,0.23181919991540179,0.05401066620746128,0.12595829414877768,0.3376801056820259
7,0.31440586075374943,0.053440421770629236,0.20966263408331615,0.4191490874241827
8,0.27080008197588423,0.05773782382328316,0.15763394728224925,0.38396621666951924
9,0.43968535750392723,0.05406354021458998,0.33372081868333087,0.5456498963245235
10,0.31221864196952454,0.057909333362342795,0.19871634857933265,0.42572093535971645
11,0.2311908393045068,nan,nan,nan
