month_rel,att,se,lo,hi
-9,0.00552409952853794,4.174792884051424e-15,0.0055240995285297575,0.005524099528546123
-8,0.014465776205350389,3.1733739920173053e-15,0.01446577620534417,0.014465776205356608
-7,0.01816007804757036,5.4773502993405956e-15,0.018160078047559626,0.018160078047581095
-6,0.04043854600789332,5.2204098579572265e-15,0.04043854600788308,0.04043854600790355
-5,0.03261971623515181,3.3491216753219235e-15,0.032619716235145244,0.03261971623515837
-4,0.03608666363056501,2.9520243583621116e-15,0.03608666363055922,0.036086663630570795
-3,-0.00829490648312059,4.5138451532658296e-15,-0.008294906483129437,-0.008294906483111743
-2,0.004764016717603292,3.2539195537479313e-15,0.0047640167175969144,0.00476401671760967
0,0.006068997281270194,4.95885808729552e-15,0.0060689972812604746,0.006068997281279914
1,0.029212524706833998,4.493318238562715e-15,0.029212524706825192,0.029212524706842803
2,0.04351623103842628,5.0804077339028535e-15,0.04351623103841632,0.043516231038436236
3,0.01693678854780223,1.1305210860370888e-14,0.01693678854778007,0.016936788547824388
4,0.0496156681193296,9.427094534044113e-15,0.049615668119311125,0.04961566811934808
5,0.04792345155649946,3.705551258787698e-15,0.0479234515564922,0.04792345155650673
6,0.011345729835307017,4.515210296243752e-15,0.011345729835298166,0.011345729835315867
7,0.038556549090156045,1.9227703804991502e-14,0.03855654909011836,0.03855654909019373
8,0.02227172641896158,1.4540955075321536e-14,0.022271726418933078,0.02227172641899008
9,0.04982581571491784,1.0537765340028279e-14,0.049825815714897186,0.0498258157149385
10,0.051719604838444067,1.2339967852913676e-14,0.05171960483841988,0.051719604838468256
11,0.07013311581457327,5.2038558552327495e-15,0.07013311581456307,0.07013311581458347
