date,obs_count,category_count,total_heat,shannon_entropy_heat,hhi_heat,top5_share_heat,top10_share_heat
2024-02-01,341,35,129830107,2.121587117861856,0.25577442549036783,0.7485197096849039,0.8798792717624426
2024-02-02,354,38,153829747,2.211533419966793,0.22700523641232043,0.7302507882301854,0.8729627631773976
2024-02-03,341,34,121003017,2.33192291600195,0.18664329068059776,0.7349661950990858,0.8606243098880749
2024-02-04,311,33,127703156,2.158537330735054,0.23768430475336874,0.7469441945506813,0.87660691016908
2024-02-05,328,32,147639669,2.171171797717011,0.21692855066918887,0.7808433653424135,0.8818228114559102
2024-02-06,334,29,162171746,2.106294347238856,0.21615512407345266,0.7978472341291805,0.8975589742987659
2024-02-07,357,29,190982600,2.202375645951256,0.19618181453852912,0.7765043255249432,0.9031760223182634
2024-02-08,320,33,139487225,2.3085711881919306,0.18627805147319385,0.7205872007275218,0.8696256951129395
2024-02-09,313,33,278623543,2.104706669381668,0.1870708435133284,0.7951740567738025,0.9469501505836496
2024-02-10,242,29,255825385,2.364488574401317,0.125490389562657,0.6993109851080651,0.942129476322297
2024-02-11,266,27,104505447,2.302478137809225,0.1550651499476923,0.7140762815932455,0.9135780357936749
2024-02-12,245,28,108175848,2.279728349019124,0.16234559444819913,0.726510736481585,0.9140200407765697
2024-02-13,267,30,136790287,2.170944324977998,0.19153871950270024,0.7830836775713468,0.9054377888687374
2024-02-14,288,25,137504830,2.0527279502042792,0.22468169278414815,0.7899759593899356,0.8985219573741519
2024-02-15,277,30,111649726,2.2190507079858914,0.1879382214312802,0.7657742662082306,0.8827776970988715
2024-02-16,272,30,124628037,2.220418291412933,0.19238792411458638,0.7649219252326024,0.9020010802224222
2024-02-17,276,29,135714276,2.2561276980593177,0.18996753549113615,0.728542817411486,0.8928356439082356
2024-02-18,300,35,154259221,2.330032364961032,0.198077282653475,0.7349090528597962,0.8491336475762443
2024-02-19,306,31,186452038,2.0245844493017047,0.26201162130842176,0.7959669821361781,0.8890717086181702
2024-02-20,291,32,190015420,2.02015422267487,0.26063251920747915,0.8066016484346376,0.8932036989419068
2024-02-21,303,32,154646083,2.360206478530277,0.19201829115990363,0.7063656891975725,0.8262604944219635
2024-02-22,374,33,191455990,1.9778596861596904,0.2995238722628695,0.7778058184546747,0.8997066636567495
2024-02-23,321,36,159285614,2.2154602700815884,0.2447520810011701,0.7139750360632066,0.8515551630419054
2024-02-24,349,26,191968537,1.929544186583334,0.23552756607777686,0.8439591327405908,0.9348849598202648
2024-02-25,330,32,211630950,1.8309113260628769,0.30026133258819515,0.8418916420306198,0.9253937290363249
2024-02-26,304,34,149244819,2.239875822235566,0.22327968248423588,0.736552757653852,0.8679538952705621
2024-02-27,336,34,150979734,2.122528562728324,0.2711131465222234,0.7422633556898437,0.8622283968257619
2024-02-28,298,35,138806688,2.0386399765243746,0.30503837382632726,0.7540846086609313,0.8614956723122734
2024-02-29,339,38,145907473,2.1947463560477023,0.2606895852835934,0.7321507034804173,0.8382991527788298
2024-03-01,353,32,138051686,2.2437153493861453,0.2098919684725493,0.7300565166585506,0.8736321988852784
2024-03-02,332,36,131975734,2.303788244737998,0.19469588828467377,0.7305726975536275,0.8803482237120954
2024-03-03,338,31,123931146,2.1869362953256974,0.19834748846432879,0.7551416413110551,0.9093174689113259
2024-03-04,365,35,121485854,2.176628510425357,0.2408480882491936,0.7367228121884875,0.8852094993710133
2024-03-05,376,38,122806619,2.2533746582276803,0.23495422283271106,0.7362305121355064,0.8569016381763592
2024-03-06,329,33,112327618,2.3489507079932,0.21290078628994377,0.6696845739219717,0.8275803907815441
2024-03-07,359,34,115416759,2.3073778949522845,0.2087098304821562,0.7067606966853056,0.8479916421843036
2024-03-08,350,39,136604909,2.4515964447214755,0.17370603496994724,0.6926578165649961,0.8414215407149095
2024-03-09,357,40,115781393,2.5425984857234196,0.15597987172363476,0.6437035785188729,0.8281717425873429
2024-03-10,362,32,103331764,2.286595950527608,0.2077808538253615,0.6717027302466259,0.8751283874337035
2024-03-11,343,34,131329734,2.333797603080636,0.21303296442917974,0.651745597840014,0.8536331384026103
2024-03-12,359,41,176768539,2.36950593045891,0.1859021985476655,0.7223476118677431,0.8668044770116021
2024-03-13,364,32,175440718,2.0357500077388972,0.27605678525248317,0.7500398510680969,0.8992063632571317
2024-03-14,399,36,173485970,2.158139677511861,0.2664401799508985,0.7325172750280613,0.8622091573168711
2024-03-15,381,30,205277501,2.0115834995233355,0.22178320777282223,0.8350742977916512,0.9396299110246864
2024-03-16,323,26,153166273,2.3007989719197957,0.16783483091137896,0.6793905731453034,0.9097548648977049
2024-03-17,339,24,187362677,2.00363643510321,0.2561591879000008,0.7787963661514079,0.9172711702875593
2024-03-18,362,38,203119346,2.087149556363345,0.26272585319465935,0.7673517912961378,0.8915566467016885
2024-03-19,360,34,161907652,2.2479382551306184,0.20693771504540798,0.7426722302167658,0.875542491345622
2024-03-20,367,39,141329012,2.2355096272801207,0.23876701228339103,0.7223891652196648,0.8576264581825562
2024-03-21,415,40,162938758,2.3730490106026307,0.1717835990104396,0.732862742208947,0.8835448162677169
2024-03-22,353,34,136514994,2.418187679823122,0.17553804859814934,0.666879419853324,0.842809991992528
2024-03-23,362,34,181867562,2.136934549568412,0.23534331176069284,0.7558142226594535,0.8977298766450721
2024-03-24,346,34,141571993,2.5072586709210247,0.14695841293258594,0.6657841427717981,0.8389168894443692
2024-03-25,347,34,156606747,2.5252442625121825,0.15074839612836052,0.6468833108448387,0.830608837050935
