treatment_group,post_policy,heat,minutes_on_rank,obs_count,group_label,period_label
0,0,499069.50442784536,140.58242530417374,103888,non_blank_host,pre
0,1,427202.7478635563,116.69873978693305,138548,non_blank_host,post
1,0,451495.79494599917,136.07181216063012,33518,blank_host,pre
1,1,341743.17245666776,98.20268715436292,53886,blank_host,post
