date,official_status,obs_count,unique_hosts,total_heat,avg_heat,total_minutes,avg_minutes,avg_density,day_total_heat,day_total_obs,heat_share,count_share
2024-02-01,non_official,253,156,89537280,353902.2924901186,34875,137.84584980237153,6379.12559967683,187520859,506,0.477479041411601,0.5
2024-02-01,official,80,40,36733592,459169.9,11510,143.875,5895.320108033973,187520859,506,0.1958906982182713,0.15810276679841898
2024-02-01,unknown,173,0,61249987,354046.1676300578,24515,141.70520231213874,5719.768091360128,187520859,506,0.32663026037012766,0.34189723320158105
2024-02-02,non_official,263,164,107837573,410028.7946768061,36246,137.81749049429658,6750.907014014387,216906250,517,0.49716212879988475,0.5087040618955513
2024-02-02,official,84,38,40692168,484430.5714285714,11761,140.01190476190476,7280.248793986886,216906250,517,0.18760256101426306,0.16247582205029013
2024-02-02,unknown,170,0,68376509,402214.7588235294,22643,133.19411764705882,6625.6346302854045,216906250,517,0.31523531018585216,0.3288201160541586
2024-02-03,non_official,266,159,89091862,334931.8120300752,37711,141.77067669172934,6144.5367897088,189067560,526,0.4712170718234265,0.5057034220532319
2024-02-03,official,68,36,28211525,414875.3676470588,8232,121.05882352941177,16147.04804512499,189067560,526,0.14921398996210666,0.12927756653992395
2024-02-03,unknown,192,0,71764173,373771.734375,24707,128.68229166666666,7237.331809945405,189067560,526,0.37956893821446686,0.3650190114068441
2024-02-04,non_official,226,141,84842637,375409.89823008847,35693,157.93362831858408,6347.761880848425,176542255,460,0.4805797739470361,0.49130434782608695
2024-02-04,official,74,32,40175033,542905.8513513514,12768,172.54054054054055,9239.174907538747,176542255,460,0.22756610308393307,0.1608695652173913
2024-02-04,unknown,160,0,51524585,322028.65625,22889,143.05625,5568.309608737785,176542255,460,0.29185412296903085,0.34782608695652173
2024-02-05,non_official,250,148,96286577,385146.308,37011,148.044,5253.089863248272,193401535,474,0.49785839083438505,0.5274261603375527
2024-02-05,official,75,36,50286004,670480.0533333333,13593,181.24,10701.543666883306,193401535,474,0.26000829827953537,0.15822784810126583
2024-02-05,unknown,149,0,46828954,314288.2818791946,20246,135.8791946308725,4504.305140581818,193401535,474,0.2421333108860796,0.3143459915611814
2024-02-06,non_official,249,143,101747957,408626.3333333333,41687,167.41767068273091,5413.208123492142,198133780,456,0.5135315997100545,0.5460526315789473
2024-02-06,official,81,44,55530998,685567.8765432099,14006,172.91358024691357,7256.633441915501,198133780,456,0.2802702194446601,0.17763157894736842
2024-02-06,unknown,126,0,40854825,324244.64285714284,15657,124.26190476190476,5747.482680604396,198133780,456,0.20619818084528543,0.27631578947368424
2024-02-07,non_official,273,168,106181421,388942.93406593404,38670,141.64835164835165,5729.458818760133,251266917,495,0.4225841677358584,0.5515151515151515
2024-02-07,official,76,41,78318083,1030501.0921052631,10693,140.69736842105263,15936.611420926218,251266917,495,0.31169277649074667,0.15353535353535352
2024-02-07,unknown,146,0,66767413,457311.0479452055,21687,148.54109589041096,6518.471867334754,251266917,495,0.26572305577339494,0.29494949494949496
2024-02-08,non_official,218,136,86985573,399016.3899082569,33460,153.4862385321101,5912.365561623404,191673435,466,0.4538217463468529,0.4678111587982833
2024-02-08,official,94,48,47930669,509900.7340425532,15662,166.61702127659575,9539.46891581789,191673435,466,0.25006422512331977,0.2017167381974249
2024-02-08,unknown,154,0,56757193,368553.2012987013,22478,145.96103896103895,5954.828139814384,191673435,466,0.2961140285298273,0.33047210300429186
2024-02-09,non_official,242,151,226868143,937471.6652892563,36821,152.15289256198346,15412.793858220157,542316070,510,0.41833195722929617,0.4745098039215686
2024-02-09,official,71,31,59912550,843838.7323943662,9026,127.12676056338029,12351.156835851505,542316070,510,0.11047533590513,0.1392156862745098
2024-02-09,unknown,197,0,255535377,1297133.8934010153,24603,124.88832487309645,28106.914818614805,542316070,510,0.4711927068655738,0.3862745098039216
2024-02-10,non_official,169,109,180510165,1068107.4852071006,28753,170.1360946745562,22731.71816235362,464589465,429,0.38853693120226046,0.3939393939393939
2024-02-10,official,68,29,87130748,1281334.5294117648,10029,147.48529411764707,14985.791532773266,464589465,429,0.18754352942548966,0.1585081585081585
