official_status,obs_count,unique_hosts,total_heat,avg_heat,total_minutes,avg_minutes,avg_density,heat_share,count_share
non_official,161733,6140,68245495645,421963.95073979953,19294422,119.2979911335349,10948.803516815658,0.4485543320802282,0.4626878481251663
official,93259,485,48053589146,515270.25966394664,13027078,139.68708650103474,11816.313770127847,0.3158398276651821,0.26679654757102683
unknown,94559,218,35846353931,379089.8162099853,10591293,112.00724415444326,10226.870689222935,0.23560584025458972,0.2705156043038069
