host_category_raw,week,avg_heat,total_heat,topic_count,normalized_heat,mau_millions,dau_millions,heat_per_mau,heat_per_dau
社会,2024-01-29,446147.6624365482,175782179,394,0.22827759750388282,588.0,255.0,298949.28401360544,689341.8784313726
科技,2024-01-29,850846.8333333334,5105081,6,0.006629657411077601,588.0,255.0,8682.110544217687,20019.925490196078
科普,2024-01-29,853181.0,3412724,4,0.0044318965670794245,588.0,255.0,5803.952380952381,13383.23137254902
综艺,2024-01-29,491882.21276595746,23118464,47,0.030022539542532378,588.0,255.0,39317.115646258506,90660.6431372549
综艺-内地综艺,2024-01-29,287620.4166666667,3451445,12,0.004482181168756526,588.0,255.0,5869.8044217687075,13535.078431372549
综艺-港台综艺,2024-01-29,170863.0,170863,1,0.0002218893596847831,588.0,255.0,290.5833333333333,670.0509803921568
美图,2024-01-29,260076.0,260076,1,0.00033774484299924296,588.0,255.0,442.3061224489796,1019.9058823529411
美妆,2024-01-29,167451.25,669805,4,0.0008698349119684552,588.0,255.0,1139.1241496598639,2626.6862745098038
美食,2024-01-29,136419.0,136419,1,0.00017715903711651104,588.0,255.0,232.00510204081633,534.9764705882353
萌宠,2024-01-29,154658.5,309317,2,0.0004016911272166476,588.0,255.0,526.0493197278912,1213.007843137255
读书,2024-01-29,132050.0,132050,1,0.00017148528321740583,588.0,255.0,224.5748299319728,517.843137254902
财经,2024-01-29,352669.3653846154,18338807,52,0.023815490437442972,588.0,255.0,31188.447278911564,71916.89019607843
音乐,2024-01-29,238007.83333333334,2856094,12,0.0037090351267363383,588.0,255.0,4857.302721088436,11200.36862745098
音乐-华语音乐,2024-01-29,249881.22222222222,2248931,9,0.002920549560555878,588.0,255.0,3824.7125850340135,8819.33725490196
音乐-日韩音乐,2024-01-29,270766.28571428574,1895364,7,0.0024613936564943217,588.0,255.0,3223.408163265306,7432.8
互联网,2024-02-05,713412.3333333334,8560948,12,0.004272370566975209,588.0,255.0,14559.43537414966,33572.345098039215
体育,2024-02-05,445422.868852459,108683180,244,0.05423871507656264,588.0,255.0,184835.3401360544,426208.54901960783
健康,2024-02-05,753457.75,3013831,4,0.001504062734435189,588.0,255.0,5125.562925170068,11818.945098039216
公益,2024-02-05,69198.4,345992,5,0.0001726684985364806,588.0,255.0,588.421768707483,1356.8313725490195
其他,2024-02-05,638258.4175084175,758251000,1188,0.3784077715201073,588.0,255.0,1289542.5170068026,2973533.3333333335
军事,2024-02-05,565626.0,2262504,4,0.0011291104089481304,588.0,255.0,3847.795918367347,8872.564705882352
动漫,2024-02-05,263071.6,1315358,5,0.0006564339374839536,588.0,255.0,2237.003401360544,5158.266666666666
动漫-国产动漫,2024-02-05,204697.0,204697,1,0.00010215474243601578,588.0,255.0,348.1241496598639,802.7333333333333
国学,2024-02-05,288294.5,576589,2,0.00028774872512269306,588.0,255.0,980.593537414966,2261.133333333333
情感,2024-02-05,636234.1428571428,22268195,35,0.011113019363937793,588.0,255.0,37871.07993197279,87326.25490196078
搞笑,2024-02-05,248051.3661971831,17611647,71,0.00878915305626868,588.0,255.0,29951.780612244896,69065.28235294118
政务,2024-02-05,103097.0,103097,1,5.145091271941416e-05,588.0,255.0,175.33503401360545,404.30196078431374
教育,2024-02-05,1616375.0,1616375,1,0.0008066575074623224,588.0,255.0,2748.937074829932,6338.725490196079
数码,2024-02-05,2176307.25,17410458,8,0.008688748993307524,588.0,255.0,29609.622448979593,68276.30588235294
时事,2024-02-05,1003175.3406593406,91288956,91,0.04555806771683404,588.0,255.0,155253.32653061225,357995.90588235296
时尚,2024-02-05,336788.3333333333,1010365,3,0.0005042261310198249,588.0,255.0,1718.3078231292518,3962.2156862745096
明星,2024-02-05,567956.1204819278,141421074,249,0.0705766737641232,588.0,255.0,240512.0306122449,554592.4470588235
明星-内地,2024-02-05,1107127.87,110712787,100,0.05525159743600774,588.0,255.0,188287.05272108843,434167.79215686274
明星-日韩,2024-02-05,379019.4166666667,4548233,12,0.00226981133408886,588.0,255.0,7735.090136054422,17836.207843137254
明星-欧美,2024-02-05,473545.0,473545,1,0.00023632426223570981,588.0,255.0,805.3486394557823,1857.0392156862745
明星-港台,2024-02-05,407392.8333333333,2444357,6,0.0012198647745529842,588.0,255.0,4157.069727891157,9585.713725490195
