category,total_records,total_weeks,avg_heat_mean,avg_heat_std,total_heat_mean,total_heat_std,normalized_heat_mean,normalized_heat_std
Entertainment & Sports,104568,88,410513.9865312968,200693.3397085129,498792272.5681818,330899267.64055455,0.3693653793308116,0.05436722567478093
News & Information,110214,88,517997.85241642204,194627.7850612576,641787637.5113636,252395502.8738833,0.48788799047594333,0.0613156880549352
Technology,17030,88,378578.8602420732,141026.7778852304,72643118.79545455,28078682.000776988,0.05736792333272294,0.019019403272823046
Others / General,14056,88,417010.06202214264,184219.85290964143,64337984.98863637,30618923.141454022,0.050655839039529506,0.021133510295751293
Lifestyle & Services,6138,88,455970.8426685924,180346.78643750312,31498033.011363637,13825503.557975007,0.024596758345685196,0.008784013114639897
Knowledge & Culture,2986,88,370855.72362972994,96656.65266300843,12521462.113636363,5837719.662838316,0.010126109475307479,0.004367727864767785
