period,official_status,obs_count,unique_hosts,total_heat,avg_heat,total_minutes,avg_minutes,avg_density,period_heat,period_obs,heat_share,count_share
post,non_official,85663,4288,34196522385,399198.28146340896,8890380,103.7831969461728,12254.1242330379,83233961254,207219,0.41084819068798806,0.41339355947089795
post,official,61663,402,28683739233,465169.37601154664,8479854,137.5193227705431,10622.740902485975,83233961254,207219,0.3446158130749969,0.2975740641543488
post,unknown,59893,218,20353699636,339834.365217972,5935572,99.10293356485732,10216.746878763666,83233961254,207219,0.24453599623701505,0.28903237637475326
pre,non_official,76070,3806,34048973260,447600.54239516234,10404042,136.76931773366636,9478.872025902738,68911477468,142332,0.49409727538944603,0.5344546553129303
pre,official,31596,357,19369849913,613047.5349094822,4547224,143.91771110267123,14145.699886642622,68911477468,142332,0.28108307388989967,0.22198802799089454
pre,unknown,34666,0,15492654295,446912.08374199504,4655721,134.3022269659032,10244.361757700317,68911477468,142332,0.22481965072065432,0.24355731669617514
