host,is_official,source,host_category,host_category_raw
天猫,0,model_seed,Technology,互联网
天猫健康,0,model_seed,Knowledge & Culture,健康
天猫发言人,0,model_seed,Technology,互联网
天猫品牌超级会员日,0,model_seed,News & Information,电商
天猫小黑盒,0,model_seed,Technology,数码
天猫绿动生活,0,model_seed,News & Information,社会
天猫超级品牌日,0,model_seed,Entertainment & Sports,音乐
天猫超级派对,0,model_seed,Lifestyle & Services,电商
天眼新闻,1,manual_review,Entertainment & Sports,运动健身
天秀bot,0,model_seed,Entertainment & Sports,搞笑
天赐的声音,0,model_seed,Entertainment & Sports,综艺
天霸电子竞技俱乐部,0,model_seed,Entertainment & Sports,游戏
太极急支糖浆,0,model_seed,Knowledge & Culture,健康
太湖湾音乐节,0,model_seed,Entertainment & Sports,音乐
太皇太后您有喜啦,0,model_seed,Entertainment & Sports,电视剧-国产剧
太阳星辰官微,0,model_seed,Entertainment & Sports,电视剧
央会见,0,model_seed,News & Information,社会
央广军事,1,heuristic_seed,News & Information,军事
央广网,1,manual_seed,News & Information,社会
央视一套,1,heuristic_seed,News & Information,社会
央视三农,1,heuristic_seed,News & Information,社会
央视主播说三农,1,heuristic_seed,News & Information,社会
