outcome,category,Level Change,sig_level,p_level,Slope Change,sig_slope,p_slope,rmse,n_obs,start_week,end_week
total_minutes,IT技术,323.109890109891,,0.2131920988904012,-10.364468864468193,,0.9464287738401493,91.17288094929447,15,2024-07-15,2025-09-22
average_minutes,IT技术,114.49633699633712,*,0.08592459871084786,5.310439560439683,,0.8897382179947938,22.633007344039697,15,2024-07-15,2025-09-22
time_share,IT技术,0.0007887301795847035,,0.21641928507761074,-1.9270260930877853e-05,,0.9594892670936646,0.00022424744658221512,15,2024-07-15,2025-09-22
total_minutes,互联网,-1206.9262151876846,***,0.00617429795461384,21.329454219809666,,0.21485833388427156,979.4115350624111,88,2024-01-29,2025-09-29
average_minutes,互联网,-34.47812650774594,***,0.0014549423760511005,-0.608098555691128,,0.14755612699319012,23.874231593728616,88,2024-01-29,2025-09-29
time_share,互联网,-0.0033188101319173717,***,0.003378417148380618,8.495001677269791e-05,*,0.05525392717698136,0.00250783474881586,88,2024-01-29,2025-09-29
total_minutes,体育,-18567.092358588496,***,0.0004584361325854929,-545.6190013387217,***,0.008426619149108564,11604.764760524993,88,2024-01-29,2025-09-29
average_minutes,体育,-40.1828729239703,***,3.6760268618226544e-12,-0.3499606599630042,*,0.07907583126424843,11.29738333618579,88,2024-01-29,2025-09-29
time_share,体育,-0.05147647051488244,***,5.8404907161160656e-05,-0.0011996741589364935,**,0.014982891924837649,0.02771689508152939,88,2024-01-29,2025-09-29
total_minutes,健康,115.85793226381443,,0.18491903687556976,17.66774506842908,***,3.148903969352057e-05,183.63380627148587,78,2024-02-05,2025-09-29
average_minutes,健康,-7.865412387177112,,0.629714849861747,1.8045607860245345,**,0.018258401413676628,34.45928923771581,78,2024-02-05,2025-09-29
time_share,健康,0.00024210621822961584,,0.31018638665717785,5.412514018584104e-05,***,4.285991019633188e-06,0.0005025523693031874,78,2024-02-05,2025-09-29
total_minutes,健康-医疗,-39.54761904761902,,0.4528520418534402,1.2172932330827129,,0.9340157202789078,41.79199073455614,25,2024-02-12,2025-09-29
average_minutes,健康-医疗,-40.42309523809523,,0.13033979793912767,-2.7877443609022547,,0.7030656702375899,20.752975481321247,25,2024-02-12,2025-09-29
time_share,健康-医疗,-0.00012367803246069885,,0.3649634720437335,1.70235652512675e-05,,0.6547475454961031,0.0001079559257184123,25,2024-02-12,2025-09-29
total_minutes,公益,-260.7163839371288,***,0.000983177521000775,-4.524090129128097,,0.16649552062769385,168.36681468491278,84,2024-01-29,2025-09-29
average_minutes,公益,-65.70477373961421,***,0.000146389473560225,-2.2907326348395776,***,0.0015881687134834356,36.403439440524,84,2024-01-29,2025-09-29
time_share,公益,-0.0007739026025435406,***,0.00027988111743532595,-5.787685513480104e-06,,0.5057406968820638,0.0004498835683784671,84,2024-01-29,2025-09-29
