week_start,category,host_category_raw,is_official,weekly_total_minutes,topic_count,weekly_avg_minutes,time_share
2024-03-11,动漫 (非官媒),动漫,0,67,2,33.5,0.000172198434279311
2024-03-11,动漫-日本动漫 (非官媒),动漫-日本动漫,0,42,1,42.0,0.00010794528716016511
2024-03-11,家居 (非官媒),家居,0,67,1,67.0,0.000172198434279311
2024-03-11,情感 (官媒),情感,1,1016,10,101.6,0.0026112478989220892
2024-03-11,情感 (非官媒),情感,0,7791,42,185.5,0.020023850768210626
2024-03-11,房产 (官媒),房产,1,14,1,14.0,3.59817623867217e-05
2024-03-11,搞笑 (非官媒),搞笑,0,33435,207,161.52173913043478,0.08593215895714572
2024-03-11,教育 (非官媒),教育,0,2264,8,283.0,0.005818765003109853
2024-03-11,数码 (非官媒),数码,0,318,6,53.0,0.0008173000313555358
2024-03-11,旅游 (官媒),旅游,1,3,1,3.0,7.710377654297507e-06
2024-03-11,旅游 (非官媒),旅游,0,145,1,145.0,0.0003726682532910462
2024-03-11,时事 (官媒),时事,1,13573,96,141.38541666666666,0.034884318633926686
2024-03-11,时事 (非官媒),时事,0,1463,7,209.0,0.003760094169412418
2024-03-11,时尚 (非官媒),时尚,0,1755,14,125.35714285714286,0.004510570927764042
2024-03-11,明星 (官媒),明星,1,142,1,142.0,0.00036495787563674867
2024-03-11,明星 (非官媒),明星,0,56363,315,178.93015873015872,0.1448600052430568
2024-03-11,明星-其他 (非官媒),明星-其他,0,519,4,129.75,0.0013338953341934688
2024-03-11,明星-内地 (官媒),明星-内地,1,1,1,1.0,2.570125884765836e-06
2024-03-11,明星-内地 (非官媒),明星-内地,0,11614,74,156.94594594594594,0.029849442025670418
2024-03-11,明星-日韩 (非官媒),明星-日韩,0,1362,13,104.76923076923077,0.0035005114550510684
2024-03-11,明星-欧美 (非官媒),明星-欧美,0,174,2,87.0,0.00044720190394925544
2024-03-11,明星-港台 (非官媒),明星-港台,0,58,1,58.0,0.00014906730131641847
2024-03-11,星座 (非官媒),星座,0,573,2,286.5,0.001472682131970824
2024-03-11,校园 (非官媒),校园,0,1177,8,147.125,0.0030250381663693886
2024-03-11,汽车 (官媒),汽车,1,115,1,115.0,0.00029556447674807115
2024-03-11,汽车 (非官媒),汽车,0,334,4,83.5,0.0008584220455117892
2024-03-11,游戏 (非官媒),游戏,0,13720,166,82.65060240963855,0.03526212713898727
2024-03-11,生活记录 (非官媒),生活记录,0,104,1,104.0,0.00026729309201564694
