outcome,category,Level Change,sig_level,p_level,Slope Change,sig_slope,p_slope,rmse,n_obs,start_week,end_week
total_minutes,IT技术 (非官媒),323.109890109891,,0.2131920988904012,-10.364468864468193,,0.9464287738401493,91.17288094929447,15,2024-07-15,2025-09-22
average_minutes,IT技术 (非官媒),114.49633699633712,*,0.08592459871084786,5.310439560439683,,0.8897382179947938,22.633007344039697,15,2024-07-15,2025-09-22
time_share,IT技术 (非官媒),0.0007887301795847035,,0.21641928507761074,-1.9270260930877853e-05,,0.9594892670936646,0.00022424744658221512,15,2024-07-15,2025-09-22
total_minutes,互联网 (官媒),-410.3999999999999,**,0.034080774899841536,59.266666666666644,,0.31938652693287867,72.97320665072138,9,2024-03-18,2025-06-30
average_minutes,互联网 (官媒),-207.2333333333332,*,0.07663690135336476,-0.10833333333334494,,0.9976635256232116,47.90349872743344,9,2024-03-18,2025-06-30
time_share,互联网 (官媒),-0.0010909798166508717,**,0.0327990755687183,0.00014504943995860873,,0.35060893156492273,0.00019180199348820985,9,2024-03-18,2025-06-30
total_minutes,互联网 (非官媒),-1221.5434051202224,***,0.00441208252979917,19.968366683105042,,0.23192525649749854,951.6661979400336,88,2024-01-29,2025-09-29
average_minutes,互联网 (非官媒),-34.29680566920787,***,0.001389877471378703,-0.6367635940983846,,0.12599038272185567,23.644368182153794,88,2024-01-29,2025-09-29
time_share,互联网 (非官媒),-0.0033513221979369545,***,0.0024649683396550815,8.1321946920951e-05,*,0.05995230266394273,0.002447328385739297,88,2024-01-29,2025-09-29
total_minutes,体育 (官媒),1710.4374762151879,***,0.00013154557244759757,-29.255655386407266,*,0.08801336452238472,972.6711891635684,88,2024-01-29,2025-09-29
average_minutes,体育 (官媒),-42.739587034145885,***,2.9704396974377495e-06,-2.205101957207477,***,5.2637058871093056e-09,19.447381360853573,88,2024-01-29,2025-09-29
time_share,体育 (官媒),0.0037814362377552578,***,0.0018256641422890261,-4.1741671728929986e-05,,0.3735395792940843,0.002677544950483704,88,2024-01-29,2025-09-29
total_minutes,体育 (非官媒),-20277.52983480369,***,0.00011975425593660877,-516.3633459523145,**,0.011412906098023956,11455.74583565505,88,2024-01-29,2025-09-29
average_minutes,体育 (非官媒),-40.641619337215275,***,2.535998413353981e-12,-0.1254045133785227,,0.5264616681536318,11.314145591260976,88,2024-01-29,2025-09-29
time_share,体育 (非官媒),-0.055257906752637705,***,1.63814734227127e-05,-0.001157932487207564,**,0.018018052884788194,0.02754348234220253,88,2024-01-29,2025-09-29
total_minutes,健康 (官媒),-3.405318852687394,,0.9664935610698151,55.52909360961569,***,4.925190092758387e-10,129.15030539824315,46,2024-02-05,2025-09-22
average_minutes,健康 (官媒),4.9826603545901555,,0.8614381813278695,7.15448378383417,***,0.005286889195136492,45.47112661573539,46,2024-02-05,2025-09-22
time_share,健康 (官媒),-7.409867278892053e-05,,0.7517138548311103,0.00016702993256775128,***,1.684223211965953e-10,0.00037290462451599883,46,2024-02-05,2025-09-22
total_minutes,健康 (非官媒),168.4583732057415,**,0.016663361914360245,-1.5243166054671735,,0.7744379062992155,117.69502127031689,63,2024-02-26,2025-09-29
average_minutes,健康 (非官媒),7.2770376699323736,,0.5843456850426737,-0.6053526787370167,,0.5569110783341296,22.776206250815477,63,2024-02-26,2025-09-29
time_share,健康 (非官媒),0.00043173005380395154,**,0.015829338497705528,-2.433856346973059e-06,,0.8571134597095977,0.00029916812172386427,63,2024-02-26,2025-09-29
total_minutes,健康-医疗 (非官媒),-39.54761904761902,,0.4528520418534402,1.2172932330827129,,0.9340157202789078,41.79199073455614,25,2024-02-12,2025-09-29
average_minutes,健康-医疗 (非官媒),-40.42309523809523,,0.13033979793912767,-2.7877443609022547,,0.7030656702375899,20.752975481321247,25,2024-02-12,2025-09-29
time_share,健康-医疗 (非官媒),-0.00012367803246069885,,0.3649634720437335,1.70235652512675e-05,,0.6547475454961031,0.0001079559257184123,25,2024-02-12,2025-09-29
total_minutes,公益 (官媒),-254.4071876600101,***,5.0502626807291616e-05,-14.458620051148495,***,1.1310860710780928e-05,115.58132491243666,67,2024-01-29,2025-09-29
average_minutes,公益 (官媒),-33.201890681003526,,0.10486151597210604,-6.478096117723723,***,4.988501557773944e-08,39.89266908126776,67,2024-01-29,2025-09-29
time_share,公益 (官媒),-0.0006579696118417646,***,3.71594523322262e-05,-3.596086243043982e-05,***,1.5733285260853777e-05,0.00029305518017019475,67,2024-01-29,2025-09-29
total_minutes,公益 (非官媒),-40.11397622132803,,0.3171043329825853,0.5479414902426901,,0.7821935047708484,81.56694304294936,74,2024-02-05,2025-09-29
average_minutes,公益 (非官媒),-45.68612326241728,***,0.0007973037143779699,-1.1728381277833355,*,0.07380273187910559,26.695539912709982,74,2024-02-05,2025-09-29
time_share,公益 (非官媒),-0.00019162709688543846,,0.1490102427253926,7.549794477453035e-06,,0.25034350449732634,0.0002690850030810728,74,2024-02-05,2025-09-29
total_minutes,其他 (官媒),-41.93120732866617,,0.7315476057907672,8.25512056002069,,0.40757053599936344,199.40079451640196,48,2024-02-05,2025-09-22
average_minutes,其他 (官媒),-4.232824672518666,,0.875126003213503,1.4107177083376061,,0.5202997017624726,43.96576460765874,48,2024-02-05,2025-09-22
time_share,其他 (官媒),-0.00011957688708839521,,0.7124256559619687,2.449176924941476e-05,,0.3550040231317364,0.0005291946789997496,48,2024-02-05,2025-09-22
total_minutes,其他 (非官媒),986.0977642276423,**,0.019191422775189433,-39.09021610200914,**,0.01944042472537281,941.4569435370661,88,2024-01-29,2025-09-29
average_minutes,其他 (非官媒),13.304076215350577,,0.20504463121641342,-0.1748189323221825,,0.6737607613436026,23.746712608757978,88,2024-01-29,2025-09-29
time_share,其他 (非官媒),0.002335178460443875,**,0.020218105159763657,-6.947386693358616e-05,*,0.07987408781639777,0.0022488194966073937,88,2024-01-29,2025-09-29
total_minutes,军事 (官媒),-1085.0619147002867,***,2.144430829850112e-05,-59.254355660410646,***,1.1194273031531032e-07,528.768493272449,82,2024-01-29,2025-09-15
average_minutes,军事 (官媒),-48.057721469224994,***,0.0015827128226088964,0.21228314868348508,,0.7331393400658506,32.3573394756289,82,2024-01-29,2025-09-15
time_share,军事 (官媒),-0.003123834646090228,***,3.396413517071372e-05,-0.0001683897085409448,***,2.9441407820604603e-07,0.0015651259361911182,82,2024-01-29,2025-09-15
total_minutes,军事 (非官媒),-141.399686304034,,0.21844497025093687,2.601143421795576,,0.8198286413820306,156.05848269736342,37,2024-02-19,2025-09-29
average_minutes,军事 (非官媒),-46.230371572296974,,0.21034313175758487,1.7062358018103225,,0.6421278377933549,50.10787455830962,37,2024-02-19,2025-09-29
time_share,军事 (非官媒),-0.0003909865867125835,,0.1908422877072633,1.2205343445978596e-05,,0.6810147872056805,0.00040536417986486987,37,2024-02-19,2025-09-29
total_minutes,动漫 (非官媒),-341.17363777893127,**,0.027344720203475354,1.340599801663353,,0.8247485152874416,346.33420272151665,88,2024-01-29,2025-09-29
average_minutes,动漫 (非官媒),-3.548273372538957,,0.7033375282390653,0.3969634999553169,,0.2849538836847533,21.169033983051936,88,2024-01-29,2025-09-29
time_share,动漫 (非官媒),-0.000923643848329604,**,0.017393149812010216,5.694608742952879e-06,,0.7074505644064761,0.0008678451970591805,88,2024-01-29,2025-09-29
total_minutes,动漫-其他 (非官媒),-74.41666666666664,,,-40.749999999999936,,,6.665481691674458e-14,3,2024-02-26,2025-07-07
average_minutes,动漫-其他 (非官媒),-74.41666666666664,,,-40.749999999999936,,,6.665481691674458e-14,3,2024-02-26,2025-07-07
time_share,动漫-其他 (非官媒),-0.00021639608657465052,,,-0.00011583519040132197,,,2.1513969894844507e-19,3,2024-02-26,2025-07-07
total_minutes,动漫-动漫资讯 (非官媒),-122.4333333333331,,0.2829178208506771,-115.03333333333323,**,0.039456760673517124,56.55281591268749,9,2024-03-25,2025-05-12
average_minutes,动漫-动漫资讯 (非官媒),-7.583333333333378,,0.729179432295677,5.816666666666668,,0.5220126663884703,11.503609202826649,9,2024-03-25,2025-05-12
time_share,动漫-动漫资讯 (非官媒),-0.00041308367960170517,,0.26851890330803696,-0.00039133822451489504,**,0.03428368894013216,0.00018442606473888966,9,2024-03-25,2025-05-12
total_minutes,动漫-国产动漫 (非官媒),-19.809473684210452,,0.7752963536103488,14.70540540540543,***,0.0008208922717232239,128.3644831328102,63,2024-02-05,2025-09-15
