category,metric,coeff_did,pvalue_did,r_squared,obs
社会,sum_heat,-713067352.9444441,0.009161416496986043,0.6443448346507368,42
社会,avg_heat,74343.52626344547,0.2300420975728844,0.3347180152727599,42
社会,share_heat,-0.15981172558942397,1.916255402887877e-09,0.8947913610868191,42
社会,sum_duration,-317170.1388888888,5.145305110106891e-06,0.6621203637240944,42
社会,avg_duration,-28.068577332311982,0.005074276380455551,0.42104735436137075,42
社会,share_duration,-0.22675374029887505,3.8605469781037236e-14,0.8796445057089273,42
体育,sum_heat,-258046289.86111134,0.45471237059692715,0.18055595206606423,42
体育,avg_heat,136745.6983235178,0.5359555840867919,0.2400208388285031,42
体育,share_heat,-0.0241664340518274,0.4245197025756473,0.32538989847064914,42
体育,sum_duration,-37374.47222222222,0.1891433882693273,0.37370075679283565,42
体育,avg_duration,10.910017900232997,0.3552851795984362,0.6906908050002896,42
体育,share_duration,-0.020334315190907355,0.21772251720208102,0.398766850691353,42
明星,sum_heat,16219320.47222232,0.8558163189918988,0.7759355738851601,42
明星,avg_heat,-86148.17439945354,0.24256045107290358,0.05426673145382144,42
明星,share_heat,0.004655460723393108,0.5293352369354578,0.9453985730863166,42
明星,sum_duration,-4129.111111111077,0.8311553802905733,0.867638151851713,42
明星,avg_duration,-32.14310570242382,0.13488935791697892,0.10218132285646919,42
明星,share_duration,0.0044054933325633795,0.5634798450514459,0.9587688680717896,42
明星-内地,sum_heat,-48653892.38888887,0.07569141161620771,0.7177612939898117,42
明星-内地,avg_heat,-112929.83790508806,0.1040117954717226,0.07329416614172657,42
明星-内地,share_heat,-0.008963178136163492,0.038116656638653455,0.8153350269829016,42
明星-内地,sum_duration,-25966.583333333332,0.0003615639127342681,0.8231935535796042,42
明星-内地,avg_duration,-46.675126742095976,0.02842006341105437,0.17932370532067932,42
明星-内地,share_duration,-0.013080341033801002,0.0003427092618217646,0.9071601284525204,42
时事,sum_heat,-34903393.41414139,0.23819042292031856,0.578623729862326,41
时事,avg_heat,45614.477141721014,0.549143722161294,0.42799022604770587,41
时事,share_heat,-0.008326810135868735,0.02252052861460115,0.7633864832833476,41
时事,sum_duration,-19520.590909090904,0.008609103769075414,0.6763791584881944,41
时事,avg_duration,-24.809078714442748,0.17104240693877126,0.41886741928305615,41
时事,share_duration,-0.014195867367108015,0.0002567111071586686,0.7906299959536397,41
财经,sum_heat,-38323014.555555545,0.0683184771130511,0.30039264423624124,42
财经,avg_heat,-26710.46003923744,0.7437894193786232,0.4377263794432561,42
财经,share_heat,-0.008128441855071281,0.026256767664299494,0.4198389764487107,42
财经,sum_duration,-15657.222222222226,0.0024676747649973485,0.5450964649590841,42
财经,avg_duration,-10.073462928476115,0.5426226357302306,0.6056277498474738,42
财经,share_duration,-0.008464289797531749,0.003481613074351951,0.6095753215741191,42
游戏,sum_heat,-10500605.56388885,0.6015367338216415,0.8353943906482442,39
游戏,avg_heat,-183291.2906329493,0.06061896122049533,0.13107624505117677,39
游戏,share_heat,-0.003334958245173104,0.3745062655181379,0.8513044042259669,39
游戏,sum_duration,-14099.863888888882,0.0055425250264377925,0.8503255433321953,39
游戏,avg_duration,20.14804742165792,0.5066475499032819,0.12048269875055484,39
游戏,share_duration,-0.007065745066780489,0.01056609976932881,0.8883339874991496,39
综艺,sum_heat,-80332211.39898995,0.0009191548848662575,0.798285247845092,41
综艺,avg_heat,-45055.16361662735,0.6166937384057198,0.054494018217193685,41
综艺,share_heat,-0.014785562903933888,0.0036142746047632414,0.7984827689973192,41
综艺,sum_duration,-26587.530303030315,0.0001607323476360756,0.8085101577268069,41
综艺,avg_duration,-30.58084054064976,0.21075415163460132,0.03926047289818535,41
综艺,share_duration,-0.011891969684746555,0.008277607830424425,0.7906350619391623,41
电视剧,sum_heat,-3704638.7954545524,0.8683070768784082,0.761198232456362,41
电视剧,avg_heat,397118.4710254275,0.19449301356554372,0.13210511986364115,41
电视剧,share_heat,-0.003211513009140111,0.5318878197655009,0.7292673831859747,41
电视剧,sum_duration,-11478.49242424243,0.27571344116012253,0.6737899283304924,41
电视剧,avg_duration,57.95688411909411,0.040655386536746156,0.19656834959700142,41
电视剧,share_duration,-0.0044431582052363305,0.44284874272455477,0.7563007232832042,41
搞笑,sum_heat,-127209578.69444439,0.0004636654965676914,0.6091163783611833,31
搞笑,avg_heat,497534.7773428928,0.37934486235404286,0.2054651423390541,31
搞笑,share_heat,-0.02393123031798164,0.002694419106051212,0.5417995420757009,31
搞笑,sum_duration,-64727.16666666666,0.0003801653204618648,0.6014301321372191,31
搞笑,avg_duration,-82.39339851370369,0.24250972801045656,0.10111614085126885,31
搞笑,share_duration,-0.03746641196295518,0.0005563662249024467,0.6063491325058246,31
