date,obs_count,S,H_cnt,heat_sum,minutes_sum,heat_hhi,heat_top5_share,heat_top10_share,heat_effective_topics,minutes_hhi,minutes_top5_share,minutes_top10_share,minutes_effective_topics,mean_emo_cnt,mean_emo_min,mean_abs_emo_cnt,mean_abs_emo_min,var_emo_cnt,var_emo_min,share_neg_cnt,share_neg_min,share_pos_cnt,share_pos_min,polarity_cnt,polarity_min,balanced_extremes_cnt,balanced_extremes_min
2024-02-01,333,34,2.458229934108639,126270872.0,46385.0,0.006258646989677251,0.08189686850345027,0.1519550209489327,159.77894290081514,0.006556525996288123,0.07418346448205239,0.13965721677266357,152.51979486791248,0.001981981981981982,-0.02375832704538105,0.026246246246246243,0.036232187129459956,0.0193990747504261,0.027419521630832784,0.015015015015015015,0.03733965721677266,0.018018018018018018,0.006834105853185297,0.03303303303303303,0.04417376306995796,0.0010821632443254064,0.0010207326797643146
2024-02-02,347,36,2.3799226582175557,148529741.0,48007.0,0.007050057291478393,0.10043937934288864,0.17173333655782783,141.84281895251104,0.006074811818052295,0.06267835940591997,0.11925344220634491,164.61415266038972,0.0020749279538904894,-0.004541004436852959,0.007146974063400576,0.006640698231507904,0.005916155769087028,0.005739205970645241,0.002881844380403458,0.0063532401524777635,0.005763688760806916,0.0013123086216593413,0.008645533141210374,0.007665548774137105,6.644021626290393e-05,3.3349647310275506e-05
2024-02-03,334,32,2.391313613812386,117303387.0,45943.0,0.006269211037376057,0.09378150351276729,0.1523973557558061,159.50970449681085,0.006543456344698462,0.07102278910824282,0.13418801558452864,152.8244321229719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-04,300,28,2.360559395546592,125017670.0,48461.0,0.0076282219072322235,0.10965151566174605,0.18346880884918107,131.09214862403417,0.0065256923237252155,0.0750706753884567,0.13555229978745795,153.24044567108035,-0.0005333333333333334,-0.0007698974433049256,0.0008666666666666667,0.0008565650729452549,0.00010171555555555556,0.00013157745664328622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-05,325,30,2.4235725909191532,146572581.0,50604.0,0.006402356332914538,0.08300166318282953,0.1448500180262228,156.19249351352036,0.006089383883506147,0.06598292625088925,0.1235870682159513,164.22022640231702,0.001969230769230769,-0.0012805311833056674,0.0029538461538461537,0.0014070033989407953,0.0020441221301775144,0.0002639518927223499,0.0,0.0,0.003076923076923077,7.904513477195479e-05,0.003076923076923077,7.904513477195479e-05,0.0,0.0
2024-02-06,330,27,2.3777650583372636,157278955.0,55693.0,0.009791204270037974,0.13425629640023995,0.20379056435109197,102.13248262627879,0.006106900219357019,0.06365252365647388,0.11805792469430629,163.74919584084634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-07,349,28,2.472241556227442,184499504.0,49363.0,0.013035169964086416,0.18329308896136653,0.301243308491496,76.71553211466592,0.006335723909060924,0.07509673237039888,0.1401657111601807,157.8351604889013,0.002636103151862464,0.0009655004760650689,0.002636103151862464,0.0009655004760650689,0.0019340251722071245,0.0005333991906349033,0.0,0.0,0.0028653295128939827,0.0007698073455827239,0.0028653295128939827,0.0007698073455827239,0.0,0.0
2024-02-08,312,31,2.4330823896072316,134916242.0,49122.0,0.006989630983580468,0.08995657468727894,0.1629204065734354,143.06906936133353,0.007041067139540336,0.08509425511990554,0.1516224909409226,142.02392622906922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-09,313,31,2.464037891380956,286780693.0,45847.0,0.02091445030868227,0.2566557644799331,0.3724290812003861,47.81383135777982,0.007087802927994187,0.08007066983663053,0.15041333129757672,141.0874441853302,0.00255591054313099,0.0011516565969420026,0.00255591054313099,0.0011516565969420026,0.002038195755800304,0.0009199989646363221,0.0,0.0,0.003194888178913738,0.0014395707461775035,0.003194888178913738,0.0014395707461775035,0.0,0.0
2024-02-10,237,26,2.531682615421613,267640913.0,38782.0,0.017261837961127662,0.20700832462038418,0.3412536258983693,57.93125866735185,0.009044497571334909,0.09238822133979681,0.17399824660925173,110.56446111161999,0.003375527426160337,0.0027022845650043832,0.003375527426160337,0.0027022845650043832,0.002689027755523509,0.0021545253101332455,0.0,0.0,0.004219409282700422,0.0033778557062554794,0.004219409282700422,0.0033778557062554794,0.0,0.0
2024-02-11,259,26,2.359942196136347,103284560.0,42136.0,0.008964883063546833,0.12326668187384446,0.1971852714481235,111.54635179417095,0.008388136497550634,0.09032656161002468,0.1694275678754509,119.21599038022374,0.0027027027027027024,0.0003820960698689956,0.0027027027027027024,0.0003820960698689956,0.001884587289992695,0.00026732125150168753,0.0,0.0,0.003861003861003861,0.0005458515283842794,0.003861003861003861,0.0005458515283842794,0.0,0.0
2024-02-12,242,27,2.3269564712131054,108112947.0,47230.0,0.009080842916943208,0.11301437375488432,0.19965986127452431,110.12193572186797,0.0073469167084066825,0.07323734914249418,0.1358246876984967,136.11151993267512,-0.0030991735537190084,-0.0007145881854753335,0.0030991735537190084,0.0007145881854753335,0.002314775288573185,0.0005354305028316792,0.004132231404958678,0.0009527842473004446,0.0,0.0,0.004132231404958678,0.0009527842473004446,0.0,0.0
2024-02-13,264,29,2.406771825799071,131862082.0,47360.0,0.014533142602625136,0.2038390460117261,0.28287059050076274,68.80824246638637,0.007840223068560536,0.08228462837837838,0.15295608108108108,127.5473913503841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
